,Name,id_word,CDLI No,role,profession,Original date,Converted Date
42117,zu-hu-tum[]PN,P134066.31.2,P134066,new owner,nubanda[overseer]N,XXXX - 07 - 06,0.07060000000000001
42118,{d}en-lil₂-la₂-i₃-sa₆[]PN,P134066.33.2,P134066,new owner,zabardab[official]N,XXXX - 07 - 06,0.07060000000000001
42119,ARAD₂-mu[]PN,P134066.38.1,P134066,representative,,XXXX - 07 - 06,0.07060000000000001
42120,ur-ku₃-nun-na-ta[]PN,P134072.20.2,P134072,source,,SS09 - 03 - 08,84.0308
42121,u₂-la-i₃-li₂-iš[]PN,P134073.4.1,P134073,,šuʾi[barber]N,SS07 - 04 - 16,82.0416
42122,a-ba-{d}en-lil₂-gin₇-ta[]PN,P134073.8.2,P134073,source,,SS07 - 04 - 16,82.0416
42123,lu₂-{d}nin-šubur[]PN,P134073.12.2,P134073,intermediary,dubsar[scribe]N,SS07 - 04 - 16,82.0416
42124,lu₂-me-lam₂[]PN,P134074.4.1,P134074,,,SH40 - 03 - 00,58.03
42125,{d}šul-gi-ba-ni[]PN,P134080.11.2,P134080,intermediary,,SH44 - 00 - 00,62.0
42126,ur-sukkal[]PN,P134081.6.2,P134081,new owner,šagia[cup-bearer]N,SH44 - 04 - 15,62.0415
42127,i-di₃-lum[]PN,P134081.8.2,P134081,new owner,nubanda[overseer]N,SH44 - 04 - 15,62.0415
42128,la-e-ri-hu-um[]PN,P134081.14.1,P134081,,,SH44 - 04 - 15,62.0415
42129,ARAD₂-mu[]PN,P134081.15.1,P134081,representative,,SH44 - 04 - 15,62.0415
42130,a-a-kal-la[]PN,P134081.16.2,P134081,intermediary,lu[person]N,SH44 - 04 - 15,62.0415
42131,e₂-a-i₃-li₂[]PN,P134081.16.4,P134081,,,SH44 - 04 - 15,62.0415
42132,maš-tur[]PN,P134085.7.1,P134085,,šagia[cup-bearer]N,AS06 - 01 - 18,72.01180000000002
42133,na-lu₅-ta[]PN,P134085.10.2,P134085,source,,AS06 - 01 - 18,72.01180000000002
42134,ab-ba-sa₆-ga-ta[]PN,P134087.9.2,P134087,source,,AS01 - 09 - 02,67.09020000000001
42135,a-hu-ni[]PN,P134087.11.1,P134087,recipient,,AS01 - 09 - 02,67.09020000000001
42136,amar-{d}suen[]PN,P134087.13.2,P134087,,lugal[king]N,AS01 - 09 - 02,67.09020000000001
42137,iq-bi₂-dingir-ma[]PN,P134093.6.2,P134093,,,XXXX - 00 - 00,0.0
42138,za-ri₂-qum[]PN,P134093.8.1,P134093,,nubanda[overseer]N,XXXX - 00 - 00,0.0
42139,hu-un-ha-ab-ur[]PN,P134093.10.2,P134093,,,XXXX - 00 - 00,0.0
42140,iq-bi-dingir-ma[]PN,P134093.17.4,P134093,,,XXXX - 00 - 00,0.0
42141,za-ri₂-qum[]PN,P134093.19.1,P134093,,nubanda[overseer]N,XXXX - 00 - 00,0.0
